q,NMAE_mean,NMAE_1,NMAE_2
4,0.0888155526192318,0.097009076765024,0.0806220284734396
6,0.0840779022803596,0.106346549845989,0.0618092547147298
8,0.078603834841184,0.117297348008777,0.0399103216735909
10,0.0706961064812024,0.100702089599836,0.0406901233625687
12,0.0770612484355479,0.109848080495225,0.044274416375871
14,0.0765834030705202,0.10666868272004,0.0464981234210002
16,0.0749080574755384,0.105907228422813,0.0439088865282639
18,0.0689243096300926,0.109060766844815,0.0287878524153702
20,0.0718819539996501,0.0991215590646373,0.0446423489346629
22,0.0717070229050618,0.107530406024901,0.0358836397852231
24,0.0698488604588598,0.103611748870527,0.0360859720471927
26,0.0689237929813267,0.103875696350323,0.0339718896123302
28,0.0685465339714233,0.0864998934859842,0.0505931744568623
30,0.0686113911208245,0.101538540341713,0.035684241899936
32,0.0655757484871865,0.102473254149174,0.0286782428251989
34,0.0636724838708208,0.0973247559840946,0.030020211757547
36,0.0608364917622188,0.0833791737486917,0.0382938097757459
38,0.0594726127587222,0.085091064044044,0.0338541614734003
40,0.0600258940326073,0.0824786961488557,0.0375730919163589
42,0.0537926758403479,0.0742894579702285,0.0332958937104672
44,0.0500663325135426,0.0641906092127018,0.0359420558143834
46,0.047052393654353,0.0585997251923942,0.0355050621163118
48,0.0517788615931459,0.0684263603497867,0.035131362836505
50,0.0566575600342111,0.0761123041623953,0.0372028159060268
52,0.0498012461375119,0.0570265594393439,0.0425759328356798
54,0.0445205929595279,0.0457397256793651,0.0433014602396908
56,0.0470842603567,0.0480444059619609,0.0461241147514392
58,0.0484165288234897,0.0512218108739488,0.0456112467730306
60,0.0473241714465546,0.058299162073954,0.0363491808191552
62,0.0474501621781504,0.0598921806471128,0.0350081437091879
64,0.047547119689848,0.0661139869704654,0.0289802524092307
66,0.0458561925921151,0.0608149081618804,0.0308974770223498
68,0.0455321116088285,0.0569588900922244,0.0341053331254327
70,0.0459185039612377,0.0552801884391273,0.0365568194833481
72,0.0430107756794882,0.0513721378651383,0.0346494134938382
74,0.0436415827517559,0.0521044529453638,0.035178712558148
76,0.0451346388868137,0.053076068137718,0.0371932096359094
78,0.0449935343061472,0.0514479989863067,0.0385390696259877
80,0.0447444998360705,0.0491587609679656,0.0403302387041753
82,0.0453789987402494,0.0499995793110337,0.0407584181694652
84,0.0426627623156417,0.0555469359864264,0.0297785886448571
86,0.0385284051859554,0.0479817238430116,0.0290750865288993
88,0.0367584303938733,0.0445544928641934,0.0289623679235531
90,0.0377819535809825,0.0448984556529784,0.0306654515089866
92,0.0382603154914924,0.0457431060027267,0.0307775249802581
94,0.0392707969583626,0.0513895609414962,0.0271520329752291
96,0.0396905928074925,0.0538593163679689,0.025521869247016
98,0.040280441426659,0.0549160093384885,0.0256448735148295
100,0.0405823628272263,0.0523250370912711,0.0288396885631816
