index,S
1,1602.66050695408
2,1504.56299400108
3,630.795218373911
4,585.700165501263
5,509.362214015639
6,258.870285926392
7,99.8700152913511
8,51.0714679552643
9,29.5983657850392
10,15.0715022792417
11,13.6810407112255
12,12.7944702924121
13,11.0748815814064
14,9.34076800087135
15,9.14692106597513
16,8.95664433933323
17,7.54567671603603
18,6.59929529902343
19,5.08618947722869
20,4.64083494996335
21,4.14350611954406
22,3.2231745630135
23,2.43325804918
24,2.05097546365801
25,1.98649689672798
26,1.85308271924526
27,1.71959169061155
28,1.63102417428257
29,1.38502550759394
30,1.26568385073279
31,1.17704796275934
32,1.02887500412802
33,0.872426267818893
34,0.735971362922563
35,0.604904814778952
36,0.570988309916677
37,0.56945750223705
38,0.550958603099266
39,0.532846499690664
40,0.46359131694639
41,0.438858841628346
42,0.438741150029261
43,0.428437266136357
44,0.366705821761638
45,0.318327427953543
46,0.280803841247877
47,0.251607051952548
48,0.234061276628038
49,0.232508269524585
50,0.212788757588471
51,0.195531446978604
52,0.178323525161513
