Ts,MAE_mean,MAE_1,MAE_2
0.005,0.0973021641819068,0.173921989264621,0.0206823390991929
0.01,0.120199792679016,0.21068825202593,0.0297113333321023
0.015,0.115636313754032,0.201389785715017,0.0298828417930468
0.02,0.114878178754341,0.200669528373298,0.0290868291353849
0.025,0.114601046690456,0.204525026022048,0.0246770673588641
0.03,0.111346291702256,0.198040660478572,0.02465192292594
0.035,0.112483237543842,0.201282118073915,0.0236843570137687
0.04,0.111249408798215,0.199217050621048,0.0232817669753816
0.045,0.111252717170814,0.198213759284258,0.0242916750573694
0.05,0.0924019631079197,0.166227287397106,0.0185766388187331
NaN,NaN,NaN,NaN
