q,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
6,0.117609999012207,0.165416206258338,0.0698037917660761,0.0579470910946385,0.0613214512218359,0.0545727309674411
7,0.119342131162179,0.167545123906081,0.0711391384182779,0.0588636849026613,0.0621106624040068,0.0556167074013158
8,0.119640627925063,0.172462433915198,0.0668188219349279,0.058086317409083,0.0639335586769137,0.0522390761412523
9,0.116453149951031,0.162766864453838,0.0701394354482244,0.0575872256888286,0.0603393135709403,0.0548351378067168
10,0.117920098429561,0.165200480759237,0.0706397160998841,0.0582338688685368,0.0612414796098055,0.0552262581272681
11,0.120593783380691,0.169099136512503,0.07208843024888,0.0595228079906646,0.0626867505056406,0.0563588654756887
12,0.12103099266751,0.170979212497765,0.0710827728372546,0.0594781771344226,0.0633837135809727,0.0555726406878725
13,0.119251823378398,0.167330887659374,0.0711727590974213,0.0588371174910227,0.062031242872816,0.0556429921092294
14,0.117941895406455,0.167320488587399,0.0685633022255114,0.0578151509138438,0.0620273878322533,0.0536029139954344
15,0.113992603994394,0.164552265560172,0.0634329424286152,0.0552965845603179,0.0610011797165251,0.0495919894041107
16,0.109399820642545,0.161484319486032,0.0573153217990574,0.0523365418784023,0.0598638612530441,0.0448092225037605
17,0.105959838254565,0.161008917958813,0.0509107585503171,0.0497448742346687,0.059687625125874,0.0398021233434635
18,0.102703835485469,0.16100317716673,0.0444044938042088,0.0472005053623194,0.0596854969565146,0.0347155137681242
19,0.0977471886111883,0.155705933798561,0.039788443423816,0.0444142163888133,0.0577217555664839,0.0311066772111428
20,0.0943503388345949,0.15495171990433,0.03374895776486,0.0419135786316873,0.0574421608908951,0.0263849963724795
21,0.0931587035866362,0.15652985922935,0.0297875479439228,0.0406575760007966,0.0580271930097514,0.0232879589918419
22,0.0925119079426029,0.157412592635227,0.0276112232499786,0.0399704677804597,0.0583544311608055,0.0215865044001139
23,0.0909351144681147,0.157298795307558,0.0245714336286713,0.0387611183547905,0.0583122453469988,0.0192099913625823
24,0.0890288845649934,0.157780790934737,0.0202769781952497,0.0371717521457913,0.0584909259733398,0.0158525783182428
25,0.0870646159811763,0.156301226377974,0.0178280055843788,0.0359402018015678,0.0579424365124257,0.01393796709071
26,0.086358343845006,0.156303786825993,0.0164129008640193,0.0353875106753963,0.0579433856962563,0.0128316356545363
27,0.0859216570942537,0.15702521509209,0.0148180990964169,0.0348978215753934,0.0582108264097764,0.0115848167410104
28,0.0855356183081741,0.157761859648076,0.0133093769682722,0.0344446015003369,0.0584839079549859,0.0104052950456878
29,0.0839684538833698,0.155929696353064,0.0120072114136753,0.033595983124931,0.057804706595779,0.00938725965408289
30,0.0838820512873865,0.156382434147466,0.0113816684273072,0.033435375031203,0.0579725410492687,0.00889820901313725
31,0.0833800376500132,0.155808107930158,0.0109519673698685,0.0331609502459668,0.0577596325446142,0.00856226794731934
32,0.0831964320442814,0.155533132624409,0.010859731464154,0.0330739270911944,0.0576576964333945,0.00849015774899423
33,0.0831307819594275,0.155335726360919,0.0109258375579363,0.033063177779606,0.0575845159462385,0.00854183961297348
34,0.0828410458937664,0.15578358943583,0.00989850235170279,0.0327446051891081,0.0577505432921886,0.00773866708602762
35,0.0825618349688931,0.154254968044926,0.0108687018928601,0.0328405194079619,0.0571838679695024,0.00849717084642139
36,0.0827143636827405,0.154601825036609,0.0108269023288719,0.032888471608053,0.0573124513445994,0.00846449187150655
37,0.0822329255813581,0.155765345954683,0.00870050520803353,0.0322729254986074,0.0577437802502559,0.00680207074695886
38,0.0827451078551468,0.156272863296917,0.0092173524133762,0.0325690324311262,0.0579319220330353,0.0072061428292171
39,0.0816777843981486,0.154642241341335,0.00871332745496264,0.0320697646390389,0.0573274340752211,0.00681209520285669
40,0.0817727961914145,0.154050565645081,0.00949502673774758,0.0322656615318582,0.0571080939442407,0.00742322911947576
41,0.0818095226269034,0.153921070586467,0.00969797466734018,0.0323209915012548,0.0570600888237033,0.00758189417880623
42,0.0821680236111312,0.15431997110935,0.010016076112912,0.0325192758624643,0.0572079652592088,0.00783058646571981
43,0.0817249843832356,0.155329644024239,0.00812032474223238,0.0319653728848518,0.0575822611628622,0.00634848460684149
44,0.0813685854723008,0.154589039909644,0.00814813103495751,0.0318389676931833,0.0573077117694557,0.00637022361691097
45,0.0817151041630919,0.154933941526737,0.00849626679944689,0.0320389835281692,0.0574355702675274,0.00664239678881101
46,0.0824271780659118,0.155104650865823,0.00974970526600046,0.0325605955954773,0.0574988539363205,0.00762233725463415
47,0.0823041269013111,0.156021740368275,0.00858651343434677,0.0322758900047473,0.0578388282378883,0.0067129517716064
48,0.0821541902085278,0.155817149163788,0.00849123125326714,0.0322007221052622,0.057762984220847,0.00663845998967749
49,0.0817008341624311,0.154743106373374,0.00865856195148842,0.0320670525949612,0.0573648257569799,0.00676927943294249
50,0.0817709602623954,0.154504203409024,0.00903771711576677,0.0321709828266652,0.05727626202549,0.00706570362784037
